Country,ISO,Structural Vulnerability Index,Economic vulnerability,Exposure to fluctuations in international trade and financial flows,Merchandise and services export concentration,Exposure to fluctuations export earnings,Instability of export revenue ,Exposure to fluctuations in strategic import prices ,Food and fuel import dependency,Environmental vulnerability, Exposure to natural hazards ,Victims of natural hazards,Damages related to natural hazard,Exposure to extreme weather events,Rainfall shocks,Temperature shocks,Exposure to ecosystem pressure,Drylands,Low elevated coastal zones ,Social vulnerability,Exposure to global health shocks,Victims of epidemics,Spillover effects of regional violence,Regional Conflict-related death (excluding own country's data),Regional Homicide (excluding own country's data),Exposure to entrance of international forced displacement of people ,Refugees from abroad
Marshall Islands,MHL,45.1,58.60,90.55,90.55,45.82,45.82,1.93,1.93,50.45,25.70,32.54,16.17,53.37,0.00,75.47,64.24,0.00,90.85,10.70,0.00,0.00,18.53,0.00,26.20,0.00,0.00
Mali,MLI,48.2,52.84,77.30,77.30,33.89,33.89,35.40,35.40,62.30,32.58,46.08,0.00,79.55,83.98,74.85,65.22,92.23,0.00,17.45,2.11,2.11,22.39,13.94,28.44,20.18,20.18
Myanmar,MMR,36.7,39.85,41.49,41.49,43.17,43.17,34.32,34.32,48.73,63.17,8.40,88.94,55.71,49.87,61.00,5.37,0.00,7.59,8.76,0.00,0.00,15.17,3.92,21.10,0.00,0.00
Mongolia,MNG,50.1,55.88,73.33,73.33,27.82,27.82,56.70,56.70,66.48,51.99,73.26,6.25,77.85,88.56,65.40,67.06,94.84,0.00,1.16,0.00,0.00,2.01,0.00,2.85,0.03,0.03
Mozambique,MOZ,44.7,43.42,45.83,45.83,33.04,33.04,49.64,49.64,55.07,69.69,38.79,90.61,54.75,63.62,44.13,35.28,49.76,3.56,32.69,17.47,17.47,53.79,2.12,76.03,2.96,2.96
Mauritania,MRT,71.2,70.12,82.42,82.42,55.57,55.57,69.77,69.77,73.79,70.71,100.00,0.22,79.60,90.50,66.96,70.70,99.97,1.42,69.58,58.20,58.20,33.74,39.62,26.59,100.00,100.00
Mauritius,MUS,38.6,44.57,34.54,34.54,37.14,37.14,58.19,58.19,24.61,4.34,1.62,5.92,42.06,29.29,51.78,5.37,0.00,7.60,43.33,0.00,0.00,75.05,100.00,35.57,0.17,0.17
Malawi,MWI,42.7,44.31,68.20,68.20,31.78,31.78,15.16,15.16,53.32,69.57,93.51,30.61,53.06,62.99,40.78,29.55,41.79,0.00,25.85,37.29,37.29,22.81,5.67,31.76,9.65,9.65
Malaysia,MYS,39.4,38.51,33.46,33.46,16.10,16.10,55.40,55.40,44.10,6.66,6.96,6.35,75.80,82.56,68.36,6.66,0.00,9.41,35.01,0.01,0.01,11.31,3.96,15.50,59.57,59.57
Namibia,NAM,60.7,42.62,47.65,47.65,21.55,21.55,52.09,52.09,69.82,70.98,100.00,8.71,67.73,79.79,52.98,70.70,99.99,0.28,66.18,96.10,96.10,60.21,2.11,85.12,16.67,16.67
Niger,NER,63.4,28.81,36.33,36.33,29.42,29.42,17.44,17.44,76.66,72.10,100.00,19.90,86.22,87.51,84.91,70.71,100.00,0.00,73.14,19.92,19.92,75.16,100.00,36.04,100.00,100.00
Nigeria,NGA,44.6,60.72,84.04,84.04,62.70,62.70,8.23,8.23,44.40,3.29,4.47,1.28,67.63,55.82,77.66,36.48,51.58,1.24,17.25,2.73,2.73,29.71,29.45,29.96,1.59,1.59
Nicaragua,NIC,50.5,40.77,41.91,41.91,13.17,13.17,55.28,55.28,31.67,34.99,28.36,40.56,41.94,26.36,53.13,4.98,0.00,7.05,70.71,100.00,100.00,70.71,0.00,100.00,0.76,0.76
Nepal,NPL,43.6,44.94,53.59,53.59,34.81,34.81,44.43,44.43,54.67,73.20,26.75,100.00,58.83,76.92,31.70,12.19,17.24,0.00,26.13,40.23,40.23,6.76,0.61,9.54,19.62,19.62
Nauru,NRU,58.2,76.58,70.66,70.66,100.00,100.00,50.97,50.97,28.83,0.00,0.00,0.00,48.36,8.18,67.90,12.44,0.00,17.59,58.88,0.00,0.00,20.05,0.00,28.35,100.00,100.00
Oman,OMN,51.7,38.83,51.39,51.39,30.73,30.73,30.63,30.63,69.44,51.49,0.60,72.82,82.76,91.96,72.39,70.46,99.64,1.18,41.00,0.00,0.00,71.00,100.00,9.07,0.95,0.95
Pakistan,PAK,58.4,35.30,51.56,51.56,27.27,27.27,18.33,18.33,62.44,61.27,22.85,83.58,62.40,86.20,18.93,63.64,89.98,1.93,71.28,3.50,3.50,72.31,100.00,21.39,100.00,100.00
Panama,PAN,35.6,31.19,24.72,24.72,25.04,25.04,40.99,40.99,30.52,3.52,3.26,3.76,52.63,46.05,58.47,3.56,0.00,5.04,43.52,0.00,0.00,58.72,0.00,83.04,47.27,47.27
Peru,PER,32.4,28.54,41.91,41.91,19.26,19.26,17.79,17.79,31.77,21.10,25.36,15.73,48.07,53.59,41.84,16.47,23.29,0.44,36.31,39.49,39.49,48.95,0.00,69.22,1.09,1.09
Philippines,PHL,40.8,39.79,59.93,59.93,25.37,25.37,22.66,22.66,57.03,79.41,99.81,51.47,58.52,41.78,71.44,5.35,0.00,7.56,12.17,20.59,20.59,4.55,0.23,6.43,0.07,0.07
Palau,PLW,53.7,75.02,90.55,90.55,42.65,42.65,82.88,82.88,53.78,40.69,57.55,0.00,82.94,78.51,87.15,11.85,0.00,16.76,11.45,0.00,0.00,19.83,0.00,28.05,0.00,0.00
Papua New Guinea,PNG,26.6,33.68,52.09,52.09,23.01,23.01,12.65,12.65,25.54,22.09,30.97,4.14,38.20,0.00,54.02,3.12,0.00,4.42,18.26,24.08,24.08,2.77,0.38,3.90,20.33,20.33
Democratic People's Republic of Korea,PRK,33.9,28.46,47.84,47.84,5.15,5.15,10.72,10.72,51.18,72.05,100.00,19.53,51.56,72.91,0.00,3.24,0.00,4.59,4.94,8.33,8.33,1.95,0.00,2.75,0.00,0.00
Paraguay,PRY,49.2,40.97,57.35,57.35,33.92,33.92,24.40,24.40,39.73,22.30,31.51,1.43,55.74,71.87,32.38,33.62,47.55,0.00,63.22,100.00,100.00,44.62,0.00,63.10,1.08,1.08
Qatar,QAT,42.6,45.60,73.95,73.95,23.27,23.27,15.05,15.05,44.96,0.04,0.04,0.03,76.38,92.63,55.56,15.16,0.00,21.44,36.59,0.00,0.00,63.37,89.53,3.97,1.03,1.03
Rwanda,RWA,46.3,33.30,33.31,33.31,41.55,41.55,22.15,22.15,40.82,6.79,8.71,4.05,70.37,71.85,68.87,0.00,0.00,0.00,60.46,4.11,4.11,30.82,33.11,28.34,100.00,100.00
Saudi Arabia,SAU,50.9,49.77,82.80,82.80,20.04,20.04,13.22,13.22,59.55,1.16,0.07,1.64,75.08,91.35,54.12,70.71,99.99,0.82,41.71,0.34,0.34,72.25,100.00,20.98,0.18,0.18
Sudan,SDN,67.1,62.05,38.71,38.71,100.00,100.00,7.15,7.15,65.62,10.51,14.67,2.38,88.37,87.01,89.71,70.71,100.00,0.15,73.03,7.77,7.77,77.08,100.00,43.39,100.00,100.00
Senegal,SEN,41.0,34.21,6.33,6.33,17.58,17.58,56.24,56.24,55.75,11.15,15.24,4.04,74.89,64.33,84.14,59.94,84.50,6.66,27.56,32.61,32.61,30.65,30.63,30.66,16.59,16.59
Singapore,SGP,39.8,61.51,34.01,34.01,13.98,13.98,100.00,100.00,31.01,0.00,0.00,0.00,52.25,5.25,73.70,12.43,0.00,17.58,3.46,3.80,3.80,4.63,0.29,6.54,0.00,0.00
Solomon Islands,SLB,50.2,56.67,73.77,73.77,45.52,45.52,46.06,46.06,29.08,24.75,31.99,14.21,43.69,0.00,61.79,3.96,0.00,5.60,59.17,100.00,100.00,22.40,0.00,31.68,0.06,0.06
Sierra Leone,SLE,50.8,67.28,57.40,57.40,100.00,100.00,16.92,16.92,36.81,2.70,0.69,3.76,63.53,41.13,79.87,4.66,0.00,6.59,43.17,72.34,72.34,18.67,4.65,25.99,3.25,3.25
El Salvador,SLV,53.4,31.70,26.20,26.20,18.69,18.69,44.49,44.49,50.41,76.49,41.26,100.00,41.89,27.81,52.30,4.09,0.00,5.78,70.71,100.00,100.00,70.71,0.00,100.00,0.12,0.12
Somalia,SOM,62.6,62.32,40.62,40.62,0.00,0.00,100.00,100.00,83.50,100.00,100.00,100.00,76.93,81.92,71.60,70.71,99.99,0.68,30.18,44.74,44.74,24.54,15.69,30.95,11.40,11.40
South _Sudan,SSD,72.8,80.50,97.15,97.15,100.00,100.00,1.33,1.33,64.02,50.94,72.04,0.00,84.23,64.73,100.00,51.05,72.20,0.00,73.05,16.63,16.63,75.72,100.00,38.30,100.00,100.00
Sao Tome and Principe,STP,55.2,66.83,83.11,83.11,56.02,56.02,57.92,57.92,31.24,0.00,0.00,0.00,54.09,53.72,54.46,1.21,0.00,1.72,60.83,100.00,100.00,33.16,36.38,29.59,0.00,0.00
Suriname,SUR,42.2,55.23,79.09,79.09,38.84,38.84,37.24,37.24,30.53,2.89,4.09,0.00,52.52,9.69,73.64,5.44,0.00,7.69,37.05,0.00,0.00,64.16,0.00,90.74,0.82,0.82
Eswatini,SWZ,49.0,51.37,63.33,63.33,40.26,40.26,47.80,47.80,53.28,70.71,100.00,0.00,43.80,57.34,23.42,39.99,56.56,0.00,41.43,0.00,0.00,70.90,7.27,100.00,11.06,11.06
Seychelles,SYC,47.2,68.99,53.43,53.43,37.74,37.74,100.00,100.00,41.79,25.45,14.17,33.08,56.49,36.23,71.20,37.40,0.00,52.90,13.23,0.00,0.00,22.92,9.37,31.03,0.00,0.00
