Country,ISO,Structural Vulnerability Index,Economic vulnerability,Exposure to fluctuations in international trade and financial flows,Merchandise and services export concentration,Exposure to fluctuations export earnings,Instability of export revenue ,Exposure to fluctuations in strategic import prices ,Food and fuel import dependency,Environmental vulnerability, Exposure to natural hazards ,Victims of natural hazards,Damages related to natural hazard,Exposure to extreme weather events,Rainfall shocks,Temperature shocks,Exposure to ecosystem pressure,Drylands,Low elevated coastal zones ,Social vulnerability,Exposure to global health shocks,Victims of epidemics,Spillover effects of regional violence,Regional Conflict-related death (excluding own country's data),Regional Homicide (excluding own country's data),Exposure to entrance of international forced displacement of people ,Refugees from abroad
Botswana,BWA,62.5,64.11,86.18,86.18,57.74,57.74,39.63,39.63,52.91,1.83,1.80,1.86,58.26,74.54,35.12,70.71,100.00,0.00,69.29,100.00,100.00,64.29,2.32,90.89,16.39,16.39
Central African Republic,CAF,46.6,55.05,73.83,73.83,54.12,54.12,26.68,26.68,33.82,1.89,2.68,0.00,58.35,51.68,64.33,4.88,6.90,0.00,48.33,16.05,16.05,73.27,100.00,27.13,37.17,37.17
Chile,CHL,38.6,38.63,61.91,61.91,7.72,7.72,24.15,24.15,53.41,71.87,18.20,100.00,53.19,69.21,29.47,23.74,33.54,1.40,10.72,0.00,0.00,18.48,0.00,26.13,1.76,1.76
China,CHN,45.7,39.84,65.27,65.27,15.62,15.62,16.06,16.06,54.06,65.52,83.91,39.29,55.55,78.47,3.64,37.28,52.68,2.01,41.75,0.08,0.08,72.21,100.00,20.72,3.76,3.76
C™te D'Ivoire,CIV,32.9,40.24,59.22,59.22,22.87,22.87,28.76,28.76,36.06,0.15,0.21,0.00,62.46,41.78,77.83,0.49,0.00,0.69,18.01,2.20,2.20,31.07,32.45,29.62,1.61,1.61
Cameroon,CMR,47.4,19.19,23.67,23.67,13.37,13.37,19.11,19.11,32.44,0.88,1.25,0.05,55.48,47.47,62.47,8.84,12.49,0.31,72.89,10.60,10.60,76.33,100.00,40.65,100.00,100.00
Democratic Republic of the Congo,COD,53.8,61.15,91.58,91.58,51.87,51.87,11.84,11.84,31.83,1.02,1.14,0.89,55.13,50.20,59.64,0.56,0.78,0.04,62.68,20.07,20.07,75.56,100.00,37.65,75.32,75.32
Congo,COG,65.3,55.16,83.46,83.46,32.10,32.10,33.67,33.67,34.80,3.63,5.13,0.00,60.17,57.52,62.70,0.05,0.00,0.07,92.40,100.00,100.00,74.93,100.00,35.06,100.00,100.00
Colombia,COL,36.4,22.33,34.94,34.94,14.11,14.11,8.70,8.70,28.93,13.05,15.75,9.63,48.36,33.44,59.65,1.51,1.63,1.38,51.28,53.75,53.75,70.71,0.00,100.00,0.12,0.12
Comoros,COM,53.9,51.85,75.83,75.83,42.81,42.81,21.93,21.93,50.57,46.14,65.14,3.75,74.44,91.24,52.50,2.08,0.00,2.94,58.94,100.00,100.00,20.56,8.23,27.89,0.00,0.00
Cabo Verde,CPV,62.5,73.61,81.95,81.95,68.28,68.28,69.84,69.84,54.39,11.54,16.32,0.42,63.81,76.79,47.41,68.34,96.47,5.77,57.79,100.00,100.00,4.28,2.05,5.69,0.00,0.00
Costa Rica,CRI,46.4,27.03,40.68,40.68,13.40,13.40,18.91,18.91,40.27,9.48,11.06,7.57,69.02,82.03,52.91,3.44,0.00,4.86,64.01,100.00,100.00,29.86,0.00,42.23,37.42,37.42
Cuba,CUB,51.8,41.16,66.18,66.18,24.96,24.96,8.94,8.94,68.41,100.00,100.00,100.00,61.95,64.75,59.02,14.22,0.48,20.10,40.83,0.00,0.00,70.71,0.00,100.00,0.46,0.46
Djibouti,DJI,73.8,71.14,8.20,8.20,71.51,71.51,100.00,100.00,72.02,66.21,93.64,0.00,78.58,82.70,74.23,70.72,100.00,1.36,78.08,47.01,47.01,77.98,100.00,46.50,100.00,100.00
Dominica,DMA,62.4,66.90,90.96,90.96,51.05,51.05,50.45,50.45,74.47,99.78,99.56,100.00,81.72,90.95,71.32,0.70,0.00,0.99,40.82,0.00,0.00,70.71,0.00,100.00,0.00,0.00
Dominican Republic,DOM,43.1,28.71,25.05,25.05,31.35,31.35,29.37,29.37,29.23,17.46,21.50,12.13,47.38,37.01,55.86,3.67,2.91,4.30,62.42,85.17,85.17,66.59,0.00,94.17,0.82,0.82
Algeria,DZA,55.9,58.08,96.72,96.72,12.53,12.53,24.64,24.64,60.29,30.22,1.31,42.71,71.71,91.76,43.19,69.64,98.48,0.04,48.68,0.00,0.00,73.96,100.00,30.67,40.47,40.47
Ecuador,ECU,49.2,43.93,71.58,71.58,11.53,11.53,23.09,23.09,28.56,17.98,10.91,22.97,45.27,40.79,49.34,8.61,11.78,3.10,67.29,23.92,23.92,54.89,0.00,77.62,100.00,100.00
Egypt,EGY,50.2,42.79,6.90,6.90,71.79,71.79,17.08,17.08,58.16,0.24,0.04,0.34,71.77,93.50,39.51,70.67,99.92,2.38,48.35,0.03,0.03,73.24,100.00,27.00,40.62,40.62
Eritrea,ERI,63.4,84.66,86.67,86.67,100.00,100.00,63.16,63.16,60.78,25.94,36.69,0.00,73.59,80.41,66.07,70.66,99.90,2.47,34.54,0.00,0.00,58.76,77.57,29.81,11.25,11.25
Ethiopia,ETH,54.5,41.78,55.96,55.96,44.26,44.26,12.05,12.05,43.46,27.93,37.00,13.82,53.74,61.68,44.42,44.69,63.20,0.00,72.68,4.07,4.07,76.35,100.00,40.73,100.00,100.00
Fiji,FJI,50.2,49.40,30.69,30.69,51.50,51.50,61.04,61.04,70.48,92.53,84.40,100.00,79.40,87.30,70.62,6.16,0.00,8.71,11.84,0.00,0.00,20.52,0.00,29.01,0.12,0.12
Micronesia (Federated States of),FSM,56.4,75.84,95.49,95.49,41.58,41.58,80.04,80.04,59.99,66.93,91.97,22.40,77.85,77.28,78.42,15.99,0.00,22.62,13.90,0.00,0.00,24.07,0.00,34.04,0.79,0.79
Gabon,GAB,37.9,54.29,87.70,87.70,16.00,16.00,29.92,29.92,33.90,2.19,3.10,0.00,58.67,57.28,60.02,1.24,0.00,1.76,14.69,4.08,4.08,23.62,28.96,16.65,8.53,8.53
Georgia,GEO,29.1,38.75,19.16,19.16,42.60,42.60,48.20,48.20,31.32,32.09,3.21,45.26,43.50,61.52,0.00,4.56,6.12,2.03,7.82,0.00,0.00,11.92,13.89,9.54,6.43,6.43
Ghana,GHA,33.0,38.22,50.41,50.41,40.24,40.24,14.89,14.89,37.35,3.49,4.94,0.15,64.14,48.28,76.79,7.71,10.86,0.92,20.15,21.23,21.23,26.22,15.20,33.83,8.90,8.90
Guinea,GIN,45.4,66.94,84.42,84.42,72.27,72.27,33.04,33.04,36.77,2.20,3.11,0.00,63.62,37.36,81.85,1.65,1.13,2.04,18.66,11.99,11.99,28.20,28.23,28.18,10.29,10.29
Gambia,GMB,56.8,73.85,60.98,60.98,100.00,100.00,51.42,51.42,54.39,14.60,20.64,0.00,65.07,50.13,77.17,66.54,90.91,24.29,35.77,0.00,0.00,4.28,2.05,5.69,61.81,61.81
Guinea-Bissau,GNB,60.4,65.31,92.16,92.16,54.69,54.69,36.22,36.22,40.87,6.87,9.72,0.00,68.62,37.95,89.32,15.94,0.00,22.54,70.88,100.00,100.00,17.93,4.09,25.03,68.91,68.91
Equatorial Guinea,GNQ,52.6,59.81,98.77,98.77,24.22,24.22,19.68,19.68,42.56,0.00,0.00,0.00,73.71,86.80,57.72,0.39,0.00,0.55,53.94,89.36,89.36,27.26,35.10,15.94,0.00,0.00
Grenada,GRD,65.3,87.41,94.18,94.18,100.00,100.00,63.64,63.64,59.15,75.62,37.90,100.00,69.02,67.76,70.26,3.75,0.00,5.31,40.82,0.00,0.00,70.71,0.00,100.00,0.00,0.00
Guatemala,GTM,34.0,21.39,25.39,25.39,7.65,7.65,25.88,25.88,35.53,49.43,57.51,39.74,36.62,13.46,50.01,1.43,0.00,2.03,41.74,15.08,15.08,70.71,0.00,100.00,0.29,0.29
Guyana,GUY,55.1,62.88,69.89,69.89,66.45,66.45,50.61,50.61,58.95,80.18,53.46,100.00,63.14,52.50,72.23,2.96,0.00,4.19,40.83,0.00,0.00,70.71,0.00,100.00,0.33,0.33
Honduras,HND,50.8,39.64,42.21,42.21,22.95,22.95,49.05,49.05,34.09,42.37,55.86,21.69,40.90,34.53,46.40,4.38,0.00,6.20,70.71,100.00,100.00,70.71,0.00,100.00,0.06,0.06
